misc,input,animations,measure,draw,sync,gpu,timestamp
1446.108605,0.0045,0.412116,67.57673,35.414039,0.592038,45.129616,136433614334154
1446.108605,0.0045,0.412116,474.082884,6.822115,0.979731,4.363692,136433614334154
65.978408,0.003461,105.216231,7.852077,12.060808,0.469077,8.552961,136437360038619
167.386783,0.003615,26.99,11.749077,3.848885,0.342731,7.71,136437442910859
14.352716,0.008308,1.779346,0.371038,3.362423,0.385462,3.008577,136437641779426
80.744012,0.00427,266.559307,14.320308,115.616423,5.071769,49.456231,136437939776514
402.395246,0.004384,22.100116,0.617769,14.3155,1.320692,13.406693,136438138499934
215.189281,0.004346,2.022539,0.664615,56.189423,2.089654,130.667807,136438569812091
155.467684,0.005308,2.071807,0.92427,17.60373,1.19877,17.335423,136438801825611
75.666499,0.004231,0.906346,0.541577,31.960115,1.366462,19.575077,136438967567411
44.734247,0.004423,1.355461,0.459231,2.809731,1.037615,10.562308,136439050443702
155.467684,0.005308,2.071807,0.92427,17.60373,1.19877,17.335423,136438801825611
75.666499,0.004231,0.906346,0.541577,31.960115,1.366462,19.575077,136438967567411
44.734247,0.004423,1.355461,0.459231,2.809731,1.037615,10.562308,136439050443702
4.646953,0.004461,5.672116,0.473846,3.561231,1.051,10.465653,136439100165996
1.323821,0.008038,9.213423,0.433039,0.945308,0.862,8.181577,136439116723397
1.605617,0.004423,10.141807,0.645346,1.778654,1.011077,9.203654,136439133278986
0.482892,0.003423,10.545039,0.449346,1.951346,1.3405,10.8125,136439149856864
0.557716,0.004192,11.447654,0.413077,1.284384,0.936539,10.044461,136439166439579
0.63356,0.004077,12.706808,0.595576,0.97127,1.033,8.699654,136439183006081
26.756854,0.004115,0.541885,0.483385,0.980692,0.917346,10.600154,136439199565710
0.674553,0.004461,23.262346,9.999423,19.930231,1.514077,15.004115,136439232718896
24.481953,0.004307,5.163193,0.873423,8.213154,2.682769,9.416269,136439265866842
31.104862,0.004038,1.605039,0.499,1.953038,1.148423,7.142616,136439299011356
3.031426,0.0035,8.597884,0.521808,1.120961,0.87127,7.301,136439332156523
0.461151,0.003654,10.393576,0.354077,1.135731,1.049192,7.209962,136439348724067
1.48296,0.004,8.903269,0.443423,1.015193,0.96973,7.4025,136439365286027
0.449238,0.004115,10.562693,0.451846,1.048769,1.070462,7.332577,136439381858172
