Flags,IntendedVsync,Vsync,OldestInputEvent,NewestInputEvent,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,DequeueBufferDuration,QueueBufferDuration,GpuCompleted
1,136433614334154,136435047667516,9223372036854775807,0,136435060442759,136435060447259,136435060859375,136435128436105,136435129238990,136435163850144,136435164442182,136435207562375,136435209571798,0,796538,0
1,136433614334154,136435047667516,9223372036854775807,0,136435060442759,136435060447259,136435060859375,136435534942259,136435535686028,136435541764374,136435542744105,136435544526759,136435547107797,0,691269,136435550158528
0,136437360038619,136437410038620,9223372036854775807,0,136437426017027,136437426020488,136437531236719,136437539088796,136437550213257,136437551149604,136437551618681,136437557211527,136437560171642,3869115,973385,136437564202142
1,136437442910859,136437609577529,9223372036854775807,0,136437610297642,136437610301257,136437637291257,136437649040334,136437652363719,136437652889219,136437653231950,136437658422450,136437660941950,3732653,517307,136437665189911
0,136437641779426,136437641779426,9223372036854775807,0,136437656132142,136437656140450,136437657919796,136437658290834,136437658638450,136437661653257,136437662038719,136437663524219,136437665047296,372270,791423,136437669003334
1,136437939776514,136438006443182,9223372036854775807,0,136438020520526,136438020524796,136438287084103,136438301404411,136438416490103,136438417020834,136438422092603,136438470424718,136438471548834,324153,547000,136438475564603
0,136438138499934,136438538499942,9223372036854775807,0,136438540895180,136438540899564,136438562999680,136438563617449,136438576848257,136438577932949,136438579253641,136438591177795,136438592660334,446346,753385,136438597023872
0,136438569812091,136438769812095,9223372036854775807,0,136438785001372,136438785005718,136438787028257,136438787692872,136438807708026,136438843882295,136438845971949,136438975254526,136438976639756,694038,693231,136438983351564
0,136438801825611,136438951825614,9223372036854775807,0,136438957293295,136438957298603,136438959370410,136438960294680,136438960937295,136438977898410,136438979097180,136438994863833,136438996432603,346923,843385,29890
0,136438967567411,136439034234079,9223372036854775807,0,136439043233910,136439043238141,136439044144487,136439044686064,136439075774256,136439076646179,136439078012641,136439096235410,136439097587718,307000,749038,72700911425982
0,136439050443702,136439083777036,9223372036854775807,0,136439095177949,136439095182372,136439096537833,136439096997064,136439098042949,136439099806795,136439100844410,136439109738949,136439111406718,358846,585115,-3211348005470273394
0,136438801825611,136438951825614,9223372036854775807,0,136438957293295,136438957298603,136438959370410,136438960294680,136438960937295,136438977898410,136438979097180,136438994863833,136438996432603,346923,843385,136439005615449
0,136438967567411,136439034234079,9223372036854775807,0,136439043233910,136439043238141,136439044144487,136439044686064,136439075774256,136439076646179,136439078012641,136439096235410,136439097587718,307000,749038,136439106938064
0,136439050443702,136439083777036,9223372036854775807,0,136439095177949,136439095182372,136439096537833,136439096997064,136439098042949,136439099806795,136439100844410,136439109738949,136439111406718,358846,585115,136439121192795
0,136439100165996,136439100165996,9223372036854775807,0,136439104812949,136439104817410,136439110489526,136439110963372,136439111871449,136439114524603,136439115575603,136439124682295,136439126041256,494846,625769,136439135481949
0,136439116723397,136439116723397,9223372036854775807,0,136439118047218,136439118055256,136439127268679,136439127701718,136439127994141,136439128647026,136439129509026,136439136434910,136439137690603,297269,620808,136439146759949
0,136439133278986,136439133278986,9223372036854775807,0,136439134884603,136439134889026,136439145030833,136439145676179,136439146039833,136439147454833,136439148465910,136439156239602,136439157669564,309423,736923,136439165727987
0,136439149856864,136439149856864,9223372036854775807,0,136439150339756,136439150343179,136439160888218,136439161337564,136439161648564,136439163288910,136439164629410,136439173995564,136439175441910,434692,727731,136439178335102
0,136439166439579,136439166439579,9223372036854775807,0,136439166997295,136439167001487,136439178449141,136439178862218,136439179171026,136439180146602,136439181083141,136439189340833,136439191127602,292000,940000,136439193689102
0,136439183006081,136439183006081,9223372036854775807,0,136439183639641,136439183643718,136439196350526,136439196946102,136439197244910,136439197917372,136439198950372,136439206269372,136439207650026,474538,758038,136439210998141
